./data//640-5.jpg :	0.137s
./data//640-4.jpg :	0.143s
./data//640-3.jpg :	0.24s
./data//640-2.jpg :	0.148s
./data//800-1.jpg :	0.171s
./data//800-3.jpg :	0.285s
./data//800-2.jpg :	0.192s
./data//640-1.jpg :	0.136s
./data//800-4.jpg :	0.173s
./data//1600.jpg :	0.896s
./data//test.jpg :	0.588s
